id	text
1	অপেক্ষায় ছিলাম দাদা এমন একটা প্রতিবেদনের জন্য
2	চোদাভাই, তোমার কি মালাউট
3	সত্য তুলে ধরার জন্য পিনাকী দাদাকে অসংক ধন্যবাদ
4	তাড়াইল থানা থেকে দেখছি দাদা,,আপনার প্রতি অবিরাম ভালোবাসা 
5	তাড়াইল থেকে আছি
6	চোদাভাই, তোমার কি মালাউট
7	ধন্যবাদ আপনাকে দাদা ভাই।সত্য কথা তুলে দরার জন্য 
8	বাংলাদেশের যত ভুয়া মুক্তিযুদ্ধা আছে তাদের সকলকে শনাক্ত করে এত দিন রাষ্ট্রীয় অর্থ আত্মসাতের দায়ে শাস্তির আওতায় আনা উচিত।
9	কালনী যুদ্ধ আমাদের গ্রামে হয়েছিলো এবং এই গ্রামেরই কৃতি সন্তান শহীদ জগৎ জ্যোতি(বীর উত্তম)  প্রধান ভুমিকা পালন করেছিলেন। ফজু পাগলা হাসাইলিরে
10	জগৎ জ্যোতি একজন বীরশ্রেষ্ঠ  শুধু মিলিটারি ব্যাকগ্রাউন্ড না হওয়ার কারণে তাকে বীরশ্রেষ্ঠ খেতাব থেকে  বঞ্চিত করা হয়
11	সত্য কথা তুলে ধরার জন্য দাদাকে ধন্যবাদ
12	চোদাভাই, তোমার কি মালাউট
13	আমার বাসা কিশোরগঞ্জ সদরের রথকলা কারুজ্জামান আমার দাদা প্রথম পতাকা উত্তলন করছিলেন ফজলুর রহমান মুক্তি যুদ্ধ করছিলো আমার দাদার মুখে শোনা
14	সবার আগে দেশ, দেশের মাটি ও দেশের মানুষ ;সবার আগে প্রিয় বাংলাদেশ।দাদা,জিন্দাবাদ
15	পিনাকি দাদা আপনার কথাগুলো আগামীতে ইতিহাস হিসাবের লিখে বইতে লিপিবদ্ধ হবে এবং আগামী প্রজন্ম জানবে, সুতরাং আপনি অতি সত্য কথাগুলো এভাবেই তুলে ধরবেন, যাতে কোনো অসত্যের লেশমাত্র না থাকে
