id	text
1000	ফজা পাগল হইছে পাবনা ভর্তি করেন সালা ভুয়া মুক্তি যোদ্ধা
1001	ওরে বাটপার আম ছালা দুটোই শেষ।
1002	আহ্ দাদা অসাধারণ
1003	মুক্তিযুদ্ধের ইতিহাস যারা মুক্তিযুদ্ধ নিয়ে এত কেচাল করেন, চলেন আপনাদের সাথে মুক্তিযুদ্ধ নিয়ে কিছু বাস্তব অভিজ্ঞতা শেয়ার করি। না, না, সেটা আবার আমার ইতিহাস না; তবে ঘটনা সত্য এবং যাচাইযোগ্য। সাল ১৯৭০। আমার দাদা হাজী আজমত আলী মাস্টার, তখন ২৪-২৫ বছরের তাগড়া যুবক। সবেমাত্র বিয়েও করেছেন। আমার বাবার জন্ম ১৯৭০ সালের নভেম্বর মাসে। অত্র গ্রামে দাদার বাবা ছিলেন অনেক সম্মানিত এবং ধনী ব্যক্তি—মানে বড় বাড়ি আছে, গবাদি পশু, ঢেঁকি ভরা ধান, হাঁস, মুরগি। তা ছাড়া, চাষাবাদ করা যায় এমন জমিও আছে। তখন বিভিন্ন এলাকা থেকে আমাদের বাড়িতে মানুষ কাজ করতে আসতেন এবং বৈশাখে এখানেই থাকার ব্যবস্থা থাকত। বাড়িতে প্রতিদিন ৩০ জনের খাবার রান্না করা ছিল স্বাভাবিক ব্যাপার। আমাদের ভৌগোলিক অবস্থান হচ্ছে ব্রাহ্মণবাড়িয়া জেলার নাসিরনগর উপজেলার চাতলপার ডাকঘর বড়নগর গ্রামে। আমার দাদার বাবা ছিলেন আত্মীয়তাপরায়ণ ব্যক্তি, যার দরুন আশেপাশের ১৪-১৫ গ্রামের মানুষের সাথে ভালো সম্পর্ক রেখে চলতেন। গ্রামে কোনো মুসাফির এলে সব সময় আমাদের বাড়িতে থাকার ব্যবস্থা ছিল। এই হলো আমাদের সর্বোপরি পরিচিতি, যা সামনে প্রাসঙ্গিক হবে। সাল ১৯৭১। সারা দেশ এখন স্থবির হয়ে গেছে, যুদ্ধ যুদ্ধ ভাব। রেডিওতে শেখ মুজিবুর রহমানের ৭ মার্চের ভাষণ শুনতে পেল সমগ্র বাংলাদেশ। সবার আগ্রহের কেন্দ্রে ছিল—দেশে কি তাহলে যুদ্ধ শুরু হয়ে গেল? ২৬শে মার্চ আবার রেডিওতে ভাষণ ভেসে উঠল, "আমি মেজর জিয়া বলছি, আজকে থেকে বাংলাদেশ স্বাধীন হলো।" গ্রামে মিটিং শুরু হলো, "এখন কী করা যায়? আমরা তো যুদ্ধ চাইনি, আমরা শান্তি চাই।" সব মুরুব্বীরা সিদ্ধান্ত নিলেন শান্তিকমিটিতে নাম লেখাবেন। স্বাধীনতা ঘোষণার ৩-৪ মাসের মধ্যে ২০ জনের একটা গ্রুপ গ্রামে প্রবেশ করে। এরা নিজেদের মুক্তিযোদ্ধা হিসাবে পরিচয় দিলে গ্রামের মানুষ তাদের সম্মান দেখাতে শুরু করে। তখন ২০ জনের থাকার ব্যবস্থা করা হলো আমাদের বাড়িতে। মুক্তিযোদ্ধারা গ্রামের মানুষকে আশ্বস্ত করল যে অত্র ১০ গ্রাম তারা পাহারা দেবে যেন পাকবাহিনী/পাঞ্জাবিরা গ্রামে ঢুকতে না পারে। সমস্যা শুরু হয় যখন মুক্তিযোদ্ধারা গ্রামের মানুষের সব হাঁস-মুরগি অনেকটা জোর করেই খাওয়া শুরু করে। তখন তারা হয়ে গেল গ্রামের মাতব্বর, তাদের কথায় সবার চলতে হবে। না হলে নিরীহ মানুষের উপর অত্যাচার শুরু হতো। এরা ৪ মাস গ্রামে অবস্থান করে। এই সময়ে তাদের কারণে কোনো বাড়িতে আর হাঁস-মুরগি দেখতে পাওয়া যায়নি। মানুষ যখন অতিষ্ঠ হতে শুরু করে, তখন কিছু ছেলে-ছোকরা সকাল-বিকাল বলতে শুরু করে, "এই বুঝি পাঞ্জাবিরা আসছে—এই দিক থেকে না হয় অন্য দিক দিয়ে।" এই গুজবগুলো শুনলে তারা ভয় পেত। তো, ঘটনাক্রমে ৪ মাস পরে আমাদের থেকে ভালো দূরে একটা গ্রামের নাম 'বাগী', যা একটি হিন্দু গ্রাম। সেখানে কোথাও আগুন লেগেছে, যা আমাদের গ্রাম থেকে কালো ধোঁয়া দেখা যাচ্ছে আবছা আবছা। তো, গ্রামে গুজব বের হলো পাঞ্জাবিরা (পাকবাহিনীকে এই নামে চিনত মানুষ) গ্রামে ঢুকছে এবং আগুন লাগিয়ে দিচ্ছে। এগুলো শুনে মুক্তিযোদ্ধাদের অবস্থা হলো ফ্যাকাসে। তখন গ্রামের সবাই তাদের প্রস্তুতি নিতে বলল, কিন্তু সন্ধ্যা হতে হতে তাদেরকে অত্র গ্রামের আশেপাশে কোথাও হারিকেন দিয়েও খুঁজে পাওয়া গেল না। এই যে তারা গায়েব হলো, ৫৬ বছরের মধ্যে তাদেরকে মানুষ আর গ্রামে চোখেই দেখেনি। যাইহোক, সেদিন আসলে পাঞ্জাবিরা গ্রামে আসেনি। আমাদের গিলানো ভারতের ন্যারেটিভ মুক্তিযুদ্ধের গল্প আর বাস্তব মুক্তিযুদ্ধের ইতিহাস দুইটি ভিন্ন। এই ৯ মাসের মুক্তিযুদ্ধে আমাদের উপজেলায় খবর পাওয়া গিয়েছিল ১ জন মারা গেছে, কিন্তু কে মেরেছে তার সত্যতা যাচাই করার সুযোগ ছিল না। তবে একটা কথা হলফ করে বলতে পারি, পাকবাহিনীরা আমাদের যতটা ক্ষতি করেছে তার থেকে বেশি ক্ষতি করেছে মুক্তিযুদ্ধের নাম নিয়ে একটা গোষ্ঠী। যারা ১৯৭১ সালের সময়কালে প্রাপ্তবয়স্ক ছিল, তাদের অভিব্যক্তি ছিল যে এই গোষ্ঠীরা মুক্তিযুদ্ধের নাম নিয়ে মানুষকে গুম, খুন, ধর্ষণ এবং তাদের জমি দখল করেছে, যার বিচার আজ পর্যন্ত কেউ করেনি এবং মিডিয়ায় প্রচার করতে দেয়নি। এই ঘটনাগুলো মানুষের মনে মুক্তিযুদ্ধ নিয়ে মিশ্র প্রতিক্রিয়া সৃষ্টি করেছে। মুক্তিযুদ্ধ নিয়ে মানুষের কাছে কখনোই সত্য এবং প্রকৃত ইতিহাস প্রকাশ করা হয়নি।
1004	ফজু পাগলা
1005	ভূয়া মুক্তিযোদ্ধা
1006	দাদা মুক্তিযুদ্ধ নিয়ে আপনার নিজের একটা ডকুমেন্টারি উপস্থাপন করেন।  দেখার অপেক্ষায় রইলাম,  দেখি কেমন পারেন।  অন্যেরটা বলেতো  ভালোই মজা নেন।
1007	ও ছিলো ডাকাত দলের প্রধান ভাটির মানুষের কাছে আতংকের মধ্যে দিয়ে রাখতেন পুঁথিতে লেখা আছে
1008	যে যুদ্ধে জাতি মুক্তি লাভ করে নাই, এখনো মুক্তি মুক্তি করে হাজার হাজার মানুষের মৃত্যু,এটা হাস্যকর 
1009	মুক্তি যুদ্ধের দোয়াই দিয়ে এযাবতকাল যত সুযোগ সুবিধা নিয়েছে ফজা তার সব কিছু ফজার এসথবর  অসথবর সম্পত্তি থেকে রাষ্ট্রিও কোষাগারে জমা করা হোক ।
1010	এগুলা একমাত্র রাজাকার ও তাদের চাটুকারিতা লেজপেন্চার এবং তাদের থেকে জন্ম নেয়া মধু না খাওয়া রা বিশ্বাস করবে। আর কেহ না
1011	এত মিথ্যা কথা কেমনে বলেন? আর এত বেয়াদব কেন তুই পিনাকী? ৭১ কে তুই মুক্তিযুদ্ধ হিসেবে মানস না তুই কিসের বাঙালী? ধিক তোকে সহস্র কোটি বার ধিক!!
1012	মজা পেলাম
1013	দাদা আপনার এডিটরকে দেখার খুব ইচ্ছা!
1014	ওরে বাটপার আম ছালা দুটোই শেষ।
1015	ফজু পাগলা স্বপ্নে যুদ্ধ করেছে এখানে ভোল কি 
1016	একদম আগুন 
1017	ইনকিলাব জিন্দাবাদ
1018	দাদার ভিডিও এর জন্যে অপেক্ষায় থাকি
1019	ফজু পাগলা থেকে ভূয়া ফজু!
1020	আমি জানিনা কে আমার কমেন্ট পড়বে ।। আমি পিনাকী ভট্টাচার্য ইলিয়াস আরো অনেক লোকের কাছে কৃতজ্ঞ থাকবো যে তারা হাসিনা কে হাটিয়েছে।। কারন বাংলাদেশি রা কনভার্টেড ডুপ্লিকেট মুসলিম আর হারামী জাতি।। পিনাকী ভট্টাচার্য,  ইলিয়াস এরা এদের ধ্বংস করছে তাই আমি তাদের সাধুবাদ জানাই।।
1021	বাটপার মুক্তিযোদ্ধা ধরা খাইছে খাইছেরে ভুয়া মুক্তিযোদ্ধা ধরা খাইছে ফজলু পাগলা ধরা খাইছে
1022	ফজা পাগলা
1023	এত কাহিনী করা তো দরকার নাই। উনি সহযোদ্ধাদের নাম নিয়েছেন আপনার কাছে খবর নেন তিনি আসলে যুদ্ধ করেছেন কিনা? খালি কাহিনী আর কাহিনী চলে
1024	ভুয়া,বলেই তারা এত নীচ। সত্যিকারের মুক্তিযোদ্ধারা কখনোই এত জঘন্য না
1025	ফজু পাগলা আসছে রাজ পথ কাপছে  হালা সত্যিই পাগল,  ৪৪ বছরেও এক বার এমপি হইতে পারলো না।  এবার হালা ভাইরাল হইয়া এমপি হইতে আসছে,  কিশোর গঞ্জ বাসি যদি নুন্যতম ঙান থাকে এই পাগল্কে ভোট দিবে না
1026	বর্তমানে যারা মুক্তিযুদ্ধা দাবি করে তার 99%বন্দুক ই দেখে নাই।যুদ্ধ করা তো দুরের থাক। সবচেয়ে বড় মুক্তিযোদ্ধা ছিল জাওড়া লীগ ও রাক্ষস মুজিব।
1027	ফজা পাগলা মিথ্যার উপরে পিএইচডি করছে না হয় এত সুন্দর করে মিথ্যা বানোয়াট এই কাহিনী গুলো কিভাবে উপস্থাপন করে সে
1028	দাদা মুক্তি যুদ্ধের চেতনা একেবারে শেষ হয়ে গেল
1029	চেতনা ব্যাবসায়ী 
1030	র ফাইনাল খেলছে, সরিষা র  ভিতর ভূত আছে, কি দিয়ে ভূত তাড়াবেন, ভাবুন ভাবতে থাকুন। একমত,। কাদে, ফজু, আর ও অনেক আছে,  লীগ কোন ষুদধ করে নি।  বাটপার নং এক। বাটপার ধরা ডাকতার, সাংবাদিক ক জন আছে, পুরা বাটপার। মুক্তি ষোদধা  এ রকম গাজাখরি গল্প  করে ধরা খেল।  কতাশুনেই বাটপার।
1031	ফজলু পাগলা মদ খোর
1032	পাগল ত পাগলই,  পাগলের প্রলাপ শুনে লাভ কি! শালারে জয় বাংলা করা হোক।
1033	এই জারজ এর কথা যে বিশ্বাস করে সে ১০০% জারজ সন্তান
1034	আমার বয়স বর্তমান থেকে এর মাঝামাঝি অবস্থানে রয়েছে এই বাটপার যে ভুয়া মুক্তিযোদ্ধা তার ব্যবহারে আমি বুঝতে পারছিলাম সর্বপ্রথম প্রশ্ন ছুড়ে দিয়েছিলাম কোনো একটি ইউটিউব চ্যানেল কমেন বক্সে  আজ শতভাগ নিশ্চিত হলাম পিনাকি দাদার এই ভিডিও থেকে ধন্যবাদ দাদা আপনাকে
1035	ফজা পাগলা সারা বাংলাদেশে একাই যুদ্ধ করছে
1036	ফজু মুক্তিযোদ্ধার নাম দিয়ে এতোদিন যতো গুলা টাকা খাইছে, সব গুলা ওর পেট থেকে বের করা দরকার
1037	ফজা পাগলা
1038	ফজা পাগলার মতো শত শত ভূয়া মুক্তিযোদ্ধা নিজেদের বাঘ বলে জাহির করার চেষ্টা অবিরত করে যাচ্ছে আর ফায়দা হাসিল করে যাচ্ছে
1039	মিথ্যা বাদী কতো  প্রকার ও কি,কি এর একটা হলো  ফজা পাগলা  মিথাবাদী
1040	আপনার সব কথাই তো মুখরুচক,দেশটাকে অরাজকতা করার কারিগর।
1041	ফজা ভূয়া, ভূয়া
1042	বাংলাদেশ মুক্তিযুদ্ধ নিয়ে কত রকমের মিথ্যা আছে আল্লাহই ভাল জানে  ধন্যবাদ দাদা সত্যটা তুলে ধরার জন্য
