id	text
3000	ভাই আপনিও পারেন
3001	বিএনপি পাগলাগুলারে থামায়না কেনো
3002	সত্যিই সে আওমী ছাওয়াল
3003	ভারতের দালাল
3004	গলাবাজ সুবিধাবাদী নেত্রী
3005	আর যাই হোক, আমি এবং আমার পরিবারের কেউই বিএনপি কে ভোট দিবো না
3006	রুমিন পল্টিবাজ,, বেশ্যার চেয়ে কম না
3007	যে হাসিনা পালিয়ে গিয়ে বেচে গিয়েছে, তার জন্য ফজলু পাগলা, রুহি ফারহানাএত দরদ কেন।  তোর এত জ্বলে কেন? জবাব দে, জবাব দে ফারহানা।  তুই তো তসলিমা নাসরিনের মতো হয়ে গেছ ত।  দুই সাপের একই বিয,নৌকা আর ধানের শীষ।   হাসিনার সাথে  ইন্ডিয়া চলে গেলে  পারতো।
3008	বেস্সারা বেস্সা থাকে বেস্সারা কখনো ভালো হয় না
3009	অহ, ভালো ব্যক্তিটাও নষ্টামি শুরু করছে রুমিন
3010	দালাল দালাল দালাল দালাল দালাল দালাল দালাল দালাল দালাল দালাল দালাল দালাল দালাল দালাল দালাল  খাস দালাল।
3011	বাঙালি সাংবাদিকগুলো দলভুক্ত হোক,ভালো হোক বা খারাপ হোক প্রতি স্মার্টনেস বজায় রাখে।ভারতের সাংবাদিক গুলো চুরের মত ভাব নেয়।
3012	ফজলুরে একটু আইকাঅলা বাশ দিতে হবে
3013	পুরাই জয় বাংলা হয়ে গেছে।
3014	দাদা আমার মনে হয় সিউর আপনি পাকিস্তানের এজেন্ট !!  ইতিহাসের দায় মুচন বলতে কি বুজান??  পাকিস্তান থেকে স্বাধীন হওয়ার দায় মুচন ??  আপনিও ছাড় পাবেন না।  ব্রেন ওয়াশ আর কতদিন চলবে....!!
3015	ভুয়া ওষুধ বিক্রি করে অসংখ্য শিশু হত্যা করে দেশ থেকে পালিয়ে গেছেন এখন ফ্রান্স বসে শয়তানি করেন।
3016	সুন্দর করে বাশ দেওয়ার জন্য ধন্যবাদ দাদাকে
3017	ছবি টাকা অসাধারণ ছিলো
3018	ধন্যবাদ দাদা 
3019	ইনকিলাব জঙ্গিবাদ
3020	শামীম উসমানের বউ
